Name,Commune du candidat,Maire sortant de,Photo,Articles
Jacky Bartoli,Zonza,L'Île-Rousse,,
Nicolas Cucchi,Zonza,Zonza,,
Jean-Felix Chiesa,Venaco,,,
Marc Franceschi,Ucciani,,,
Marie-Pierre Colombani,Ucciani,,,
Alain Clémenceau,Sisco,,,
Ange-Pierre Vivoni,Sisco,Sisco,,
Christophe Mondoloni,Sartène,,,
Paul-Félix Benedetti,Sartène,,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/tmmUMhY0d3EX22QKSlAT9A/g9DxsIpYj5zm3OY9v_BPQtwB5oTXoFmvDhD_9oCKlk82pkugrH4zRG1B3JmgpOOg10DLohSaHFRPgXYiADwzxDYRDirkvfwMz6ExXD-f4bXQhbCoPUvxNxkBBf_LaNgFCcHKrObKTH7E-rgDbQ9zcA/M5Sy1_Fyx6jsg1IxH9CZhqPS09fWdD7st14nQUuAgfc),
Ludovic Cerlini,Sartène,,,
Pascal Quilichini,Sartène,,,
Elisabeth Quilichini de Lesquen,Sartène,,,
Aurélien Tramoni,Sartène,,,
Jean-Joseph Battistelli,Sarrola-Carcopino,,,
Alexandre Sarrola,Sarrola-Carcopino,Sarrola-Carcopino,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/WKY91_9txYlLE1zksDVmwA/GiSGCliwWSP-0Bq_NnnrdjBj2T-aaYMGDND0XECcjHnmfV8H_WkIRgyaAdiBCjBhJlRgBDeEmcWwc5RkagfrIkrB4It304UK7AMc56ON_ItZ44xXwgYlHijXc3F4ugtQUgeZKNdYQgROOTnBNXYf6Q/d6aRQIBVycdpqCyT_G5eiFk-5Xm0rlh6L6gE9emQZW0),
Marie-Hélène Padovani,San-Martino-di-Lota,San-Martino-di-Lota,,
Paul-Marie Bartoli,Propriano,,,
Georges Mela,Porto-Vecchio,,,
Vanina Chiarelli-Luzi,Porto-Vecchio,,,
Jean-Christophe Angelini,Porto-Vecchio,Porto-Vecchio,,
